activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5dfd91ea942efd0002fc915a,5df0f157585efe000206b2ef,2019-12-28,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,6.0,6,,ok
5e0186564fdeac000285320c,5cf2d2b730c6300002c4c1a0,2019-12-31,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,10.0,2,,ok
5e0429702804a60002979ab0,5da5f89c3778a80002097293,2020-01-02,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,10.0,4,,ok
5e06cc53525fda00023ee8d0,5b4bc73d4505c5a1931a7f5f,2020-01-04,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,10.0,8,,ok
5e0ac0d8411faa00021ff0fc,5dc565dcf11fd30002472120,2020-01-07,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,8.0,2,,ok
5e0d63f34ba91d00023ea35e,5cf2d2b730c6300002c4c1a0,2020-01-09,RBR,Big - Curitiba - Portão,15,15,15,1.0,1.0,15,18.0,2,,ok
5e1006dc2f9b7b0002436ce2,5da5f89c3778a80002097293,2020-01-11,RBR,Big - Curitiba - Portão,3,15,3,0.2,1.0,15,46.0,8,,ok
5e13fb5bf6c1880002be3c53,5dae645a554d5300020e450d,2020-01-14,RBR,Big - Curitiba - Portão,7,15,7,0.47,1.0,15,20.0,2,,ok
5e169e66c6758a0002a07fbf,5db0ed3108a9ce00021639c6,2020-01-16,RBR,Big - Curitiba - Portão,9,15,9,0.6,1.0,15,39.0,11,,ok
5e194170ccfc3f0002823b37,5dae5fa36b62590002a4cc91,2020-01-18,RBR,Big - Curitiba - Portão,9,15,9,0.6,1.0,15,16.0,4,,ok
5e1d35e2c93faf000202fbf2,5df0f157585efe000206b2ef,2020-01-21,RBR,Big - Curitiba - Portão,13,15,13,0.87,1.0,15,7.0,8,,ok
5ddc9c5be4b35e0002567ade,5d1574b198473f0002f113bc,2019-12-03,RBR,Big - Curitiba - Santa Felicidade,12,15,12,0.8,1.0,15,9.0,4,,ok
5ddf3f790188820002fa4eb5,5d1652d3e141580002708d43,2019-12-05,RBR,Big - Curitiba - Santa Felicidade,0,15,0,0.0,1.0,15,26.0,4,,ok
5de1e25fcae19500021556a0,5db75e9d97eeab0002d66065,2019-12-07,RBR,Big - Curitiba - Santa Felicidade,14,15,14,0.93,1.0,15,8.0,4,,ok
5de5d6e12cd5b500028460ea,5dc316d4455d6a0002dfab27,2019-12-10,RBR,Big - Curitiba - Santa Felicidade,0,15,0,0.0,1.0,15,12.0,8,,ok
5def1161c940d800024fc33d,5d7ad8c943ae200002cbc807,2019-12-17,RBR,Big - Curitiba - Santa Felicidade,15,15,15,1.0,1.0,15,11.0,4,,ok
5df1b45cb9a66300027175f7,5d1652d3e141580002708d43,2019-12-19,RBR,Big - Curitiba - Santa Felicidade,12,15,12,0.8,1.0,15,28.0,8,,ok
