activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5e1e076e69bbc10002b4ed55),MOINHO DO NORDESTE,Condor -  Maringá  - Av. Paranà,5d214ecd3cc3870002993d43,2020-01-14,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e1e07df69bbc10002b4efcf),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5db72bbd2546450002800f62,2020-01-14,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e1e0f1e52d3fc00026ba9b0),MOINHO DO NORDESTE,Condor -  Paranaguá - Raia,5ce897b9b9a066003474ac32,2020-01-13,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e1e149fdc3ac2000266c371),MOINHO DO NORDESTE,Condor - Curitiba - Torres,5dece14b4071440002532ae1,2020-01-14,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e1e1a5ce29a6c0002ca8860),MOINHO DO NORDESTE,Condor - Curitiba - Derosso,5d1eb0ac05834f0002a6f85f,2020-01-14,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e1e1b7fe29a6c0002ca88e8),MOINHO DO NORDESTE,Condor - Pinhais - Av. Jacob Macanhan,5dbf4c6abdda6a0002b68276,2020-01-14,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e1e1eca4298b200023b8569),MOINHO DO NORDESTE,Condor - Curitiba - São Braz,5d1652d3e141580002708d43,2020-01-13,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e1e2563d33e21000229a291),MOINHO DO NORDESTE,Condor - Ponta Grossa - Jd. Carvalho,5dd55e22d49b8e0002893a62,2020-01-14,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e1e267ef0081b0002f83a8d),MOINHO DO NORDESTE,Condor - Curitiba - Pinheirinho,5db72bbd2546450002800f62,2020-01-14,0,3,0,0.0,1.0,3,0,,1
ObjectId(5e1f6eb4225f8f0002f2739f),MOINHO DO NORDESTE,Condor - Araucária - BR,5de78cc8c46ae70002e60466,2020-01-14,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e1f79aa529503000216e932),MOINHO DO NORDESTE,Condor - Ponta Grossa - Centro,5dd55e22d49b8e0002893a62,2020-01-14,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
ObjectId(5e1f814958eb1e00028e11eb),MOINHO DO NORDESTE,Condor - Curitiba - Santa Felicidade,5dffe7a0c835730002398fa6,2020-01-14,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e205da6b915ea0002c26274),MOINHO DO NORDESTE,Condor - Curitiba - Brasília,5d1eb0ac05834f0002a6f85f,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2067835c3a98000256839b),MOINHO DO NORDESTE,Condor -  Paranaguá - Raia,5ce897b9b9a066003474ac32,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2070b4aa00fb00020ef40f),MOINHO DO NORDESTE,Condor - Curitiba - Marechal,5d1eb0ac05834f0002a6f85f,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e207500aa19a100025d6291),MOINHO DO NORDESTE,Condor -  Maringá  - Av. Paranà,5dec10bef3609700028887a4,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2079d0aa19a100025d6d67),MOINHO DO NORDESTE,Condor -  Londrina,5d669adf3a6c7e0002b841f0,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e207de81468de000201a288),MOINHO DO NORDESTE,Condor - Campo Largo - Centro,5da71b107fb7170002ad6e33,2020-01-16,1,1,2,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e207e4d1468de000201a2a1),MOINHO DO NORDESTE,Condor -  Campo Largo - Loteamento São José,5da71b107fb7170002ad6e33,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e2088de7d95020002145ac1),MOINHO DO NORDESTE,Condor -  Maringá - Av. Colombo,5dec10bef3609700028887a4,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20947a5d28af00024f44f8),MOINHO DO NORDESTE,Condor - Curitiba - Santa Quitéria,5de3d6c048d3f900024ea7e3,2020-01-16,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
ObjectId(5e20bbf541f63a0002f787ca),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5de3d6c048d3f900024ea7e3,2020-01-16,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e20bbfe41f63a0002f787da),MOINHO DO NORDESTE,Condor - Curitiba - Cristo Rei,5dae645a554d5300020e450d,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20be3ae6cfed0002b41f3b),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Centro,5de78cc8c46ae70002e60466,2020-01-16,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
ObjectId(5e20c6bd06374b00029554a4),MOINHO DO NORDESTE,Condor - Ponta Grossa - Jd. Carvalho,5dc1e88767625a0002d06324,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20cb0cb23950000265fd3a),MOINHO DO NORDESTE,Condor -  Araucária - Bairro Costeira,5d1574b198473f0002f113bc,2020-01-16,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e20cbedabc1f60002772911),MOINHO DO NORDESTE,Condor - Ponta Grossa - Centro,5dd55e22d49b8e0002893a62,2020-01-16,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e20cbfcabc1f60002772921),MOINHO DO NORDESTE,Condor - Curitiba - São Braz,5dffe7a0c835730002398fa6,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e20d49906374b0002955d1f),MOINHO DO NORDESTE,Condor - Curitiba - João Bettega,5de78cc8c46ae70002e60466,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20dadc6233b30002abf9bb),MOINHO DO NORDESTE,Condor - Curitiba - Nilo Peçanha,5dea5a8b495b9d000273b486,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20dafc06374b000295609b),MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,5dea5a8b495b9d000273b486,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20db416233b30002abfa1f),MOINHO DO NORDESTE,Condor - Curitiba - Ahú,5dea5a8b495b9d000273b486,2020-01-16,2,3,2,0.66666666666666663,1.0,3,0,,1
ObjectId(5e20e0e406374b0002956333),MOINHO DO NORDESTE,Condor - Curitiba - Água Verde,5de3d6c048d3f900024ea7e3,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20e88606374b000295668d),MOINHO DO NORDESTE,Condor - Ponta Grossa - Uvaranas,5dc1e88767625a0002d06324,2020-01-16,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20eb466233b30002ac01db),MOINHO DO NORDESTE,Condor - Pinhais - Av. Jacob Macanhan,5d5de453c11dd200025aa40b,2019-12-26,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e20eb516233b30002ac01f1),MOINHO DO NORDESTE,Condor - Ponta Grossa - Centro,5db1faa93ae14b00026e7919,2019-12-26,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20eb596233b30002ac020d),MOINHO DO NORDESTE,Condor - Ponta Grossa - Uvaranas,5db1faa93ae14b00026e7919,2019-12-26,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20eb6906374b0002956b30),MOINHO DO NORDESTE,Condor - Curitiba - Umbará,5cf955a7a5a53e0002640d8b,2020-01-07,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20eb7806374b0002956b74),MOINHO DO NORDESTE,Condor - Curitiba - Torres,5db75e9d97eeab0002d66065,2020-01-03,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e20ee62c78b65000261c462),MOINHO DO NORDESTE,Condor - Araucária - BR,5d1574b198473f0002f113bc,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2198bb8c256f00024166e8),MOINHO DO NORDESTE,Condor - Curitiba - Torres,5ce9c746b9a0660034769abd,2020-01-16,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e2198fe8c256f0002416a0d),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Rua Joinville,5ce9c746b9a0660034769abd,2020-01-16,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e21ab9ab0bb8600029f2bb3),MOINHO DO NORDESTE,Condor - Curitiba - Cristo Rei,5dbf4c6abdda6a0002b68276,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e21b6f1fd07000002498147),MOINHO DO NORDESTE,Condor - Curitiba - Nilo Peçanha,5d94b47d7574da0002e493d5,2020-01-17,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
ObjectId(5e21bc1ffd07000002498473),MOINHO DO NORDESTE,Condor -  Paranaguá - Raia,5ce897b9b9a066003474ac32,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e21bd85fd065b000204e534),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Rua Joinville,5de71d91c46ae70002e5e4eb,2020-01-17,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e21bec9fd0700000249899a),MOINHO DO NORDESTE,Condor -  Maringá - Av. Colombo,5d214ecd3cc3870002993d43,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e21bf2afd065b000204e61e),MOINHO DO NORDESTE,Condor - Araucária - BR,5de7a14fccd3f400029548b6,2020-01-17,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e21c698fd065b000204ead5),MOINHO DO NORDESTE,Condor - Curitiba - Ahú,5d94b47d7574da0002e493d5,2020-01-17,2,3,2,0.66666666666666663,1.0,3,0,,1
ObjectId(5e21c6a8d3a97000020fe5c2),MOINHO DO NORDESTE,Condor - Curitiba - João Bettega,5e0883c967dd340002954f11,2020-01-17,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e21cbc378a7ef0002002d80),MOINHO DO NORDESTE,Condor -  Maringá  - Av. Paranà,5d214ecd3cc3870002993d43,2020-01-17,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e21ce9686068800024e784b),MOINHO DO NORDESTE,Condor - Curitiba - Boa Vista,5dea5a8b495b9d000273b486,2020-01-17,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e21d50f86068800024e8216),MOINHO DO NORDESTE,Condor - Curitiba - Santa Felicidade,5d1652d3e141580002708d43,2020-01-17,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e21d56d744aa60002227dcc),MOINHO DO NORDESTE,Condor - Curitiba - Umbará,5db0ed3108a9ce00021639c6,2020-01-17,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e21d5c0f299210002398d0c),MOINHO DO NORDESTE,Condor - Curitiba - Santa Felicidade,5d1652d3e141580002708d43,2020-01-17,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e21d79bd8848f00025fb15d),MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,5d94b47d7574da0002e493d5,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e21dc03d8848f00025fb477),MOINHO DO NORDESTE,Condor - Curitiba - Torres,5d16487bb67b2200027fd0b0,2020-01-17,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e21e069f299210002399280),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Centro,5de71d91c46ae70002e5e4eb,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e21e36d3913b20002e6ac66),MOINHO DO NORDESTE,Condor - Ponta Grossa - Centro,5dd55e22d49b8e0002893a62,2020-01-17,1,1,1,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e21e9aa3a9f010002cc0a00),MOINHO DO NORDESTE,Condor - Curitiba - Cajuru,5de7e593d0943c000243b8d8,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e22059b40021700026324da),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5d94b47d7574da0002e493d5,2020-01-17,1,1,2,0.33333333333333331,0.33333333333333331,3,0,,1
ObjectId(5e221480e890680002e49095),MOINHO DO NORDESTE,Condor - Curitiba - Novo Mundo,5e0b280078659d00020450df,2020-01-17,2,3,2,0.66666666666666663,1.0,3,0,,1
ObjectId(5e221a37cc086b00022a7b20),MOINHO DO NORDESTE,Condor - Ponta Grossa - Jd. Carvalho,5dd55e22d49b8e0002893a62,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e2222bf36468e0002a54352),MOINHO DO NORDESTE,Condor - Fazenda Rio Grande,5d94b47d7574da0002e493d5,2020-01-17,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e22512a4e83df00023ef140),MOINHO DO NORDESTE,Condor - Curitiba - Água Verde,5e0147bd87e3f10002390449,2020-01-17,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e235f499ecc0d0002999551),MOINHO DO NORDESTE,Condor - Curitiba - Wenceslau Braz,5d1fa4239445ca0002ad77d8,2020-01-18,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e236443151f4e00028ff810),MOINHO DO NORDESTE,Condor - Curitiba - Derosso,5de78cc8c46ae70002e60466,2020-01-18,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e25964d12ce1e0002ca2740),MOINHO DO NORDESTE,Condor -  Maringá - Av. Colombo,5dec10bef3609700028887a4,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e259b589142690002df6b43),MOINHO DO NORDESTE,Condor - Curitiba - Cristo Rei,5de7a14fccd3f400029548b6,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e259f43a3ed30000283452e),MOINHO DO NORDESTE,Condor - Pinhais - Av. Iraí,5de6a61a0fff460002c0493f,2020-01-20,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
