activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
ObjectId(5df05bb8edab68000219c0bb),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-12-11,0,0,0,,,,105.0,49,3,0
ObjectId(5dfc393a1a424a000284cb6a),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2019-12-20,0,0,0,,,,116.0,44,4,0
ObjectId(5e002db8e2e22d00022ed5f4),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5df3dc78206d3a00029bcf08,2019-12-23,0,0,0,,,,53.0,48,4,0
ObjectId(5e1545bd10dcc600023211e9),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5df42838b164a5000205f26b,2020-01-08,0,0,0,,,,84.0,30,3,0
ObjectId(5e1d2ebb8af8e50002d7d181),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-14,0,0,0,,,,97.0,40,4,0
ObjectId(5e1e803c54741a000259acbb),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-15,0,0,0,,,,87.0,46,4,0
ObjectId(5e20c11546e95c00022816a6),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d214ecd3cc3870002993d43,2020-01-17,0,0,0,,,,182.0,45,3,0
ObjectId(5e26696d76e5b100026e3956),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dead91d063fcb0002d5c88c,2020-01-21,0,0,0,,,,81.0,47,4,0
ObjectId(5e2e5243f63a960002dbb9a6),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-27,0,0,0,,,,68.0,48,1,1
ObjectId(5e2fa3c0628c300002c52818),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-28,0,0,0,,,,75.0,36,5,0
ObjectId(5e2fa3c0e3b3b40002850925),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-28,0,0,0,,,,38.0,34,4,0
ObjectId(5e2fa3c5ee9e5e0002a93a30),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5dec10bef3609700028887a4,2020-01-28,0,0,0,,,,31.0,34,1,1
ObjectId(5dedbfe11ac36d00022c63b3),SUPER SAÚDE NUTRI,Verde Mais - Hauer,5de3d6c048d3f900024ea7e3,2019-12-16,6,12,3,0.38,0.75,16,53.0,6,3,0
ObjectId(5e1be47f0b39d80002ca1a2f),SUPER SAÚDE NUTRI,Verde Mais - Hauer,5d1eb0ac05834f0002a6f85f,2020-01-20,9,13,9,0.56,0.81,16,28.0,10,5,0
ObjectId(5de9cb53da4b6d000291d422),SUPER SAÚDE NUTRI,Verde Mais - Xaxim,5d1eb0ac05834f0002a6f85f,2019-12-13,9,16,9,0.56,1.0,16,18.0,7,5,0
ObjectId(5df305dd13bdb1000249f1bf),SUPER SAÚDE NUTRI,Verde Mais - Xaxim,5de7a14fccd3f400029548b6,2019-12-20,11,11,11,0.69,0.69,16,34.0,4,4,0
ObjectId(5dfc4056afdfd60002ee0a50),SUPER SAÚDE NUTRI,Verde Mais - Xaxim,5d16487bb67b2200027fd0b0,2019-12-27,10,16,10,0.63,1.0,16,19.0,4,5,0
ObjectId(5e057ac9d4df8f00020e076d),SUPER SAÚDE NUTRI,Verde Mais - Xaxim,5d7a4828d1f0070002500813,2020-01-03,9,16,9,0.56,1.0,16,13.0,6,2,1
ObjectId(5dfbce496b25e500022d58ec),BIOZEN,"Super Muffato - Londrina - Duque ",5dd754ad0c1cb60002db67b3,2019-12-21,0,1,1,0.0,0.25,4,63.0,4,5,0
ObjectId(5dfbce49a311da00029d7f2e),BIOZEN,Super Muffato - Londrina - Quintino,5d59f255d0e27900022c6cb3,2019-12-21,1,1,1,0.25,0.25,4,47.0,4,4,0
ObjectId(5dfbce4e6da5a300026ba0a5),BIOZEN,"Super Muffato - Londrina - Gourmet Aurora ",5d59f255d0e27900022c6cb3,2019-12-21,4,4,0,1.0,1.0,4,29.0,2,3,0
ObjectId(5dfbce5400348100028417a3),BIOZEN,Super Muffato - Londrina - Aeroporto,5dd754ad0c1cb60002db67b3,2019-12-21,4,4,4,1.0,1.0,4,15.0,2,5,0
ObjectId(5dfbce546f82ca00028b327c),BIOZEN,Super Muffato - Maringá - João Paulino,5de92ff4d10c5f0002125de6,2019-12-21,2,3,2,0.5,0.75,4,4.0,4,4,0
ObjectId(5dfbd16c5fd19d0002ed7211),BIOZEN,Super Muffato - Apucarana - Centro,5d599086d0e27900022c4be1,2019-12-21,0,0,0,0.0,0.0,4,66.0,2,4,0
ObjectId(5e096f5c449f25000220dcd7),LOWCUCAR & MAGRO,Camilo - Paiçandu,5df2b7f2aa19a70002d935d9,2020-01-06,110,124,110,0.89,1.0,124,60.0,18,4,0
ObjectId(5e251eeb8c31200002318f40),LOWCUCAR & MAGRO,Camilo - Paiçandu,5d77c98c68ac6000029ce869,2020-01-27,89,91,89,0.72,0.73,124,82.0,43,4,0
ObjectId(5df062d4431f660002b902d1),JAYFEX CONSULTING,Distribuidora Leonel - CIC,5d7ad8c943ae200002cbc807,2019-12-18,3,12,3,0.25,1.0,12,6.0,4,5,0
ObjectId(5e1e8749be8c3300021532ce),JAYFEX CONSULTING,Distribuidora Leonel - CIC,5d6a67e857564a000280bcd4,2020-01-22,4,12,4,0.33,1.0,12,12.0,6,5,0
ObjectId(5de5d6d92123e00002040723),JAYFEX CONSULTING,Supermercados Curitiba - Caiuá,5dbed90ee618f600022692b7,2019-12-10,3,9,3,0.25,0.75,12,50.0,12,5,0
