activityId,date,workerId,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5dc989eac1c1a70002db0e77,2019-11-18,5cdb523eb3429500346a8bcc,SUPER SAÚDE NUTRI,Verde Mais - Hauer,11,16,11,0.69,1.0,16,44.0,4,5.0,0
5ddb4ad7651fb00002ba4586,2019-12-02,5d5592f1908c800002a39c3f,SUPER SAÚDE NUTRI,Verde Mais - Hauer,11,16,11,0.69,1.0,16,18.0,2,5.0,0
5e1be47f0b39d80002ca1a2f,2020-01-20,5d1eb0ac05834f0002a6f85f,SUPER SAÚDE NUTRI,Verde Mais - Hauer,9,13,9,0.56,0.81,16,28.0,10,5.0,0
5dc987ad4e22a100028d781a,2019-11-15,5d16487bb67b2200027fd0b0,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,10,16,10,0.63,1.0,16,28.0,6,5.0,0
5dd207ecf1ca4700028e4bbe,2019-11-22,5d1eb0ac05834f0002a6f85f,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,9,16,8,0.56,1.0,16,41.0,10,5.0,0
5de9cb53da4b6d000291d422,2019-12-13,5d1eb0ac05834f0002a6f85f,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,9,16,9,0.56,1.0,16,18.0,7,5.0,0
5df305dd13bdb1000249f1bf,2019-12-20,5de7a14fccd3f400029548b6,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,11,11,11,0.69,0.69,16,34.0,4,4.0,0
5dfc4056afdfd60002ee0a50,2019-12-27,5d16487bb67b2200027fd0b0,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,10,16,10,0.63,1.0,16,19.0,4,5.0,0
5e057ac9d4df8f00020e076d,2020-01-03,5d7a4828d1f0070002500813,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,9,16,9,0.56,1.0,16,13.0,6,2.0,1
5e0429725659ea000256c20f,2020-01-02,5d7a4828d1f0070002500813,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,7,9,7,0.58,0.75,12,11.0,6,5.0,0
5e096f6ef54aec00020ff343,2020-01-06,5de7a14fccd3f400029548b6,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,7,9,8,0.58,0.75,12,37.0,6,3.0,0
5e1fd8df189e17000274487f,2020-01-23,5d1fa4239445ca0002ad77d8,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,7,8,7,0.58,0.67,12,4.0,4,4.0,0
5dc0f74eff891d00025ab8ac,2019-11-05,5ce883eab9a0660034747586,JAYFEX CONSULTING,Super Boni - Quatro Barras,11,12,11,0.92,1.0,12,11.0,4,5.0,0
5de48556dadc2c000276349b,2019-12-09,5dd8357ae4d96d00024dac8b,JAYFEX CONSULTING,Super Boni - Bacacheri,10,12,10,0.83,1.0,12,21.0,6,2.0,1
5e0d63f3b1c9410002f491a0,2020-01-09,5dd47cc133d62b0002387d3b,JAYFEX CONSULTING,Super Boni - Bacacheri,10,12,10,0.83,1.0,12,25.0,2,2.0,1
5e169e5f640b68000222008a,2020-01-16,5d90066411c9fd0002e7e431,JAYFEX CONSULTING,Super Boni - Bacacheri,10,12,10,0.83,1.0,12,36.0,7,5.0,0
5dd75649765107000237057b,2019-11-29,5d1eb0ac05834f0002a6f85f,LIZER DISTRIBUIDORA,Dalpar - Novo Mundo,4,11,4,0.36,1.0,11,19.0,8,4.0,0
5de9cb567ec6d30002e1b5f9,2019-12-13,5dae645a554d5300020e450d,LIZER DISTRIBUIDORA,Dalpar - Novo Mundo,4,11,4,0.36,1.0,11,,6,4.0,0
