activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5db1e7d83f2ce40002ed26cc);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5d4ca3dd8584f200027201be;25/10/2019;0;0;0;0.0;0.0;314;75.0;18;1;1
ObjectId(5db1e7d9671d61000237de47);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5d7a4828d1f0070002500813;25/10/2019;0;0;0;0.0;0.0;314;53.0;20;2;1
ObjectId(5db1e86ab3b3bb000241dfa0);COCA-COLA FEMSA;Condor - Curitiba - Wenceslau Braz;5d8febfba5138d0002979572;26/10/2019;0;0;0;0.0;0.0;314;203.0;20;1;1
ObjectId(5db1e86ae804de00029c6e81);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5d7ad8c943ae200002cbc807;26/10/2019;0;0;0;0.0;0.0;314;104.0;20;2;1
ObjectId(5db1e8f28a45840002f61c10);COCA-COLA FEMSA;Condor - Curitiba - Marechal;5d62abd08e65c200021be3ef;27/10/2019;0;0;0;0.0;0.0;314;62.0;22;2;1
ObjectId(5db1e8f28a45840002f61c24);COCA-COLA FEMSA;Condor - Pinhais - Av. Iraí;5cebf53fb9a06600347977bd;27/10/2019;0;0;0;0.0;0.0;314;95.0;20;2;1
ObjectId(5db1e8f2e804de00029c6e9a);COCA-COLA FEMSA;Condor - Curitiba - Torres;5d62abd08e65c200021be3ef;27/10/2019;0;0;0;0.0;0.0;314;56.0;20;2;1
ObjectId(5db1e8f32e09270002073f10);COCA-COLA FEMSA;Condor - São José dos Pinhais - Centro;5d4ae483935024000249ed28;27/10/2019;0;0;0;0.0;0.0;314;91.0;20;2;1
ObjectId(5db1e8f38a45840002f61c29);COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;5ce92798b9a0660034752df0;27/10/2019;0;0;0;0.0;0.0;314;103.0;22;2;1
ObjectId(5db1e8f3e804de00029c6ea2);COCA-COLA FEMSA;Condor - Curitiba - Água Verde;5d4ca3dd8584f200027201be;27/10/2019;0;0;0;0.0;0.0;314;260.0;23;2;1
ObjectId(5db1ea861c2f910002d7ee1e);COCA-COLA FEMSA;Mercadorama - Curitiba - Batel;5dae645a554d5300020e450d;27/10/2019;0;0;0;0.0;0.0;115;117.0;54;1;1
ObjectId(5db1ea871bf3830002d08bc9);COCA-COLA FEMSA;Condor - Pinhais - Av. Jacob Macanhan;5cebf53fb9a06600347977bd;27/10/2019;0;0;0;0.0;0.0;115;6.0;18;2;1
ObjectId(5db1ea871c2f910002d7ee2d);COCA-COLA FEMSA;Condor - Curitiba - Torres;5d62abd08e65c200021be3ef;27/10/2019;0;0;0;0.0;0.0;115;65.0;22;2;1
ObjectId(5db1ec0ab5c8310002e2971d);COCA-COLA FEMSA;Condor - Curitiba - Torres;5d89e8e1dcd22f0002496741;27/10/2019;0;0;0;0.0;0.0;28;65.0;18;2;1
ObjectId(5db1ec0b8dbbc600029de727);COCA-COLA FEMSA;Condor - Curitiba - Cajuru;5ce92798b9a0660034752df0;27/10/2019;0;0;0;0.0;0.0;28;101.0;48;2;1
ObjectId(5db1ec0bb5c8310002e29727);COCA-COLA FEMSA;Condor - São José dos Pinhais - Centro;5d4ae483935024000249ed28;27/10/2019;0;0;0;0.0;0.0;28;113.0;18;1;1
ObjectId(5db2108bdc45710002196f3a);COCA-COLA FEMSA;Big - Curitiba - Santa Felicidade;5d7ad8c943ae200002cbc807;26/10/2019;0;0;0;0.0;0.0;314;57.0;19;2;1
ObjectId(5db21401dc4571000219716f);COCA-COLA FEMSA;Big - Curitiba - Av. das Torres;5d62abd08e65c200021be3ef;30/10/2019;0;0;0;0.0;0.0;314;119.0;20;2;1
ObjectId(5db21407dc4571000219717e);COCA-COLA FEMSA;Big - Curitiba - Av. das Torres;5d28e7901313480002c6bb94;26/10/2019;0;0;0;0.0;0.0;314;78.0;20;2;1
ObjectId(5db214f7b77a8f00025f4c7f);COCA-COLA FEMSA;Big - Curitiba - Santa Felicidade;5d2f7b7370eaf40002ed41f9;31/10/2019;0;0;0;0.0;0.0;174;15.0;22;1;1
ObjectId(5db214f7b77a8f00025f4c84);COCA-COLA FEMSA;TodoDia - Araucária;5d7ad8c943ae200002cbc807;25/10/2019;0;171;0;0.0;0.98275862068965514;174;52.0;20;2;1
ObjectId(5db2154ab77a8f00025f4c89);COCA-COLA FEMSA;Big - Curitiba - Santa Felicidade;5dae645a554d5300020e450d;28/10/2019;0;0;0;0.0;0.0;140;138.0;34;2;1
ObjectId(5db215acdc457100021972e8);COCA-COLA FEMSA;Mercadorama - Curitiba - Batel;5da1d86197562f0002caeb82;29/10/2019;0;0;0;0.0;0.0;140;11.0;30;2;1
ObjectId(5db215cddc457100021972fc);COCA-COLA FEMSA;Mercadorama - Curitiba - Batel;5da1d86197562f0002caeb82;29/10/2019;0;0;0;0.0;0.0;174;51.0;42;1;1
ObjectId(5db215cfdc45710002197301);COCA-COLA FEMSA;Mercadorama - Curitiba - Batel;5d1574b198473f0002f113bc;31/10/2019;0;0;0;0.0;0.0;174;88.0;24;1;1
ObjectId(5db36428cb51280002bd2240);P&G;Big - Curitiba - Xaxim;5d7d8911f35a310002363dc4;01/11/2019;0;0;0;0.0;0.0;138;238.0;118;1;1
ObjectId(5db365bb9083520002d67b49);COCA-COLA FEMSA;TodoDia - Araucária;5d4ca3dd8584f200027201be;27/10/2019;0;0;0;0.0;0.0;115;19.0;18;1;1
ObjectId(5db747c3e5682c0002ffca34);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5da1d86197562f0002caeb82;31/10/2019;0;0;0;0.0;0.0;140;69.0;36;1;1
