activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5de4857429b6940002f38f78),MR. CRUMS,Big - Curitiba - Arthur Bernardes,5de3d6c048d3f900024ea7e3,2019-12-09,5,17,5,0.23809523809523808,0.80952380952380953,21,5,88.0,ok
ObjectId(5de485743332ce0002e4d0af),MR. CRUMS,Big - Curitiba - Boa Vista,5d92a44ddaf60800023761b3,2019-12-09,3,5,7,0.14285714285714285,0.23809523809523808,21,5,,ok
ObjectId(5de48575466e04000297fd72),MR. CRUMS,Mercadorama - Curitiba - Bacacheri,5dd5ede996e90d000228e02c,2019-12-09,11,16,16,0.52380952380952384,0.76190476190476186,21,5,50.0,ok
ObjectId(5de48576dadc2c00027634e1),MR. CRUMS,Big - Curitiba - Xaxim,5d16487bb67b2200027fd0b0,2019-12-09,4,7,7,0.19047619047619047,0.33333333333333331,21,5,,ok
ObjectId(5de485793332ce0002e4d0b4),MR. CRUMS,Walmart - Curitiba - Juvevê,5d90066411c9fd0002e7e431,2019-12-09,11,21,11,0.52380952380952384,1.0,21,2,52.0,attention
ObjectId(5de4857c29b6940002f38f87),MR. CRUMS,Big - Curitiba - Pinheirinho (erro),5d4ae483935024000249ed28,2019-12-09,5,14,6,0.23809523809523808,0.66666666666666663,21,5,91.0,ok
ObjectId(5de4857ddadc2c00027634f0),MR. CRUMS,Mercadorama - Curitiba - Batel,5cc764c5e3cc6f00387529f3,2019-12-09,0,20,0,0.0,0.95238095238095233,21,4,5.0,ok
ObjectId(5de4857e29b6940002f38f8c),MR. CRUMS,Big - Londrina - Helena,5d8b89ff96251600029c5566,2019-12-09,0,15,0,0.0,0.7142857142857143,21,5,33.0,ok
ObjectId(5de48580466e04000297fd86),MR. CRUMS,Big - Curitiba - Santa Felicidade,5db5084d45011b0002241793,2019-12-09,0,1,2,0.0,0.047619047619047616,21,4,56.0,ok
ObjectId(5de4858088d5b00002571dae),MR. CRUMS,Big - Curitiba - Torres,5d4ae483935024000249ed28,2019-12-09,12,16,12,0.5714285714285714,0.76190476190476186,21,5,,ok
ObjectId(5de48581b3a8f2000206ef46),MR. CRUMS,Walmart - Curitiba - Jardim das Américas,5d4ae483935024000249ed28,2019-12-09,3,16,4,0.14285714285714285,0.76190476190476186,21,5,24.0,ok
