activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
ObjectId(5d03114214f82e0002503fe8),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cf1f153cf0c4d0002d31fd2,2019-06-21,0,0,8,0.0,0.0,44,124.0,20,2,1
ObjectId(5d674344195e9b0002a22d75),LA VIOLETERA,Vicari - Fazenda Velha,5d0272b3a3b8dc0002c2e147,2019-09-05,1,17,1,0.06,1.0,17,11.0,12,2,1
ObjectId(5d674345195e9b0002a22d82),LA VIOLETERA,Vicari - Iguaçu,5d0272b3a3b8dc0002c2e147,2019-09-05,4,17,4,0.24,1.0,17,15.0,16,2,1
ObjectId(5e057ac9d4df8f00020e076d),SUPER SAÚDE NUTRI,Verde Mais - Xaxim,5d7a4828d1f0070002500813,2020-01-03,9,16,9,0.56,1.0,16,13.0,6,2,1
ObjectId(5d2befbaf5c5980002cc2440),JAYFEX CONSULTING,Distribuidora Leonel - CIC,5d094e7643156500028ee94e,2019-07-22,0,0,12,0.0,0.0,12,5.0,2,1,1
ObjectId(5dd2069974a47b0002be8698),JAYFEX CONSULTING,Distribuidora Leonel - CIC,5d1b4c5886c7bb0002d46563,2019-11-20,0,0,0,0.0,0.0,12,4.0,2,2,1
ObjectId(5d22b53d41b24b00025a1e25),JAYFEX CONSULTING,Supermercados Curitiba - Barigui,5cf7ecd0530e8a000254d579,2019-07-15,3,0,3,0.25,0.0,12,11.0,6,2,1
ObjectId(5d2fe43f4276af0002a6768e),JAYFEX CONSULTING,Supermercados Curitiba - Barigui,5ce94f8bb9a0660034757fae,2019-07-25,3,0,3,0.25,0.0,12,12.0,2,2,1
ObjectId(5d8838bee05ef400025e16ac),JAYFEX CONSULTING,Supermercados Curitiba - Barigui,5d7ad8c943ae200002cbc807,2019-09-30,1,7,2,0.08,0.58,12,12.0,10,2,1
ObjectId(5d26a9c4d61b6d0002440f25),JAYFEX CONSULTING,Supermercado Sierra - Campo Comprido,5cf7ecd0530e8a000254d579,2019-07-18,7,5,10,0.58,0.42,12,10.0,6,2,1
ObjectId(5e096f6f7b7e7a0002938cef),JAYFEX CONSULTING,Supermercado Sierra - Campo Comprido,5cbf7e97c988da0039803bfb,2020-01-06,8,10,8,0.67,0.83,12,7.0,4,2,1
ObjectId(5d77234fb21ab000026c387a),JAYFEX CONSULTING,Super Boni - Quatro Barras,5cebc12eb9a0660034789ef4,2019-09-10,10,10,10,0.83,0.83,12,11.0,2,2,1
ObjectId(5de5d6da5280970002068464),JAYFEX CONSULTING,Super Boni - Quatro Barras,5dd8357ae4d96d00024dac8b,2019-12-10,11,12,11,0.92,1.0,12,21.0,4,1,1
ObjectId(5d01bfffb326b400023c0de5),JAYFEX CONSULTING,Super Boni - Campina,5ce02c49338f7e0035385da8,2019-06-20,0,0,8,0.0,0.0,12,23.0,8,2,1
ObjectId(5d391ebc179e1c000272e673),JAYFEX CONSULTING,Super Boni - Campina,5d0a20b2dd389d0002d365b1,2019-08-01,11,0,12,0.92,0.0,12,57.0,6,2,1
ObjectId(5d772350b21ab000026c387f),JAYFEX CONSULTING,Super Boni - Campina,5cebc12eb9a0660034789ef4,2019-09-10,11,12,11,0.92,1.0,12,6.0,2,2,1
ObjectId(5de48556dadc2c000276349b),JAYFEX CONSULTING,Super Boni - Bacacheri,5dd8357ae4d96d00024dac8b,2019-12-09,10,12,10,0.83,1.0,12,21.0,6,2,1
ObjectId(5e0d63f3b1c9410002f491a0),JAYFEX CONSULTING,Super Boni - Bacacheri,5dd47cc133d62b0002387d3b,2020-01-09,10,12,10,0.83,1.0,12,25.0,2,2,1
ObjectId(5d561fc1ab719c0002efcd3d),DON REPRESENTAÇÕES,TokSuper - Capão da Imbuia,5d2f7b7370eaf40002ed41f9,2019-08-23,0,0,32,0.0,0.0,75,25.0,20,2,1
ObjectId(5d54ce4769ef65000285d975),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d0005620692f20002736579,2019-08-22,0,0,14,0.0,0.0,44,40.0,4,2,1
ObjectId(5d26a9c5d61b6d0002440f3e),LA VIOLETERA,Super Boni - Bacacheri,5d0005620692f20002736579,2019-07-18,11,14,11,0.48,0.61,23,17.0,2,2,1
ObjectId(5d01c00ab326b400023c0df1),LA VIOLETERA,Super Boni - Campina,5ce02c49338f7e0035385da8,2019-06-20,0,0,12,0.0,0.0,23,50.0,10,2,1
ObjectId(5d4b93c5e9ae6c000293202c),LA VIOLETERA,Super Boni - Campina,5d1fa4239445ca0002ad77d8,2019-08-15,0,0,11,0.0,0.0,23,29.0,4,2,1
ObjectId(5d707dc7effb5b0002188f70),LA VIOLETERA,Super Boni - Pinhais,5d40724d000daa0002f12748,2019-09-12,8,16,8,0.35,0.7,23,82.0,8,2,1
ObjectId(5d54ce442d45430002132691),LA VIOLETERA,Super Boni - Quatro Barras,5d1a7909ceb2f00002e19ce2,2019-08-22,15,0,15,0.65,0.0,23,38.0,14,1,1
ObjectId(5d5e08c515a2420002a6a0bb),LA VIOLETERA,Super Boni - Santa Candida,5d2f7b7370eaf40002ed41f9,2019-08-29,0,0,0,0.0,0.0,23,4.0,2,2,1
ObjectId(5d5f684ab0b82700024b2556),LA VIOLETERA,Super Boni - Santa Candida,5d4c586cb371b800020062ab,2019-08-23,17,20,17,0.74,0.87,23,81.0,8,2,1
ObjectId(5d07e95e257c4e0002cc0fa9),KUKY DOCES,Casa China - Praça Rui Barbosa,5ce824e2992aaf0035e283dc,2019-06-21,0,0,0,0.0,0.0,19,203.0,6,2,1
ObjectId(5d111bf404a04f000262d833),KUKY DOCES,Casa China - Pinheirinho,5cdb56e4b3429500346a8ec9,2019-06-25,5,10,5,0.26,0.53,19,22.0,4,1,1
ObjectId(5d0d9d68e159160002c6d548),JANDIRA ALIMENTOS,Condor - Curitiba - Ahú,5cf7ecd0530e8a000254d579,2019-06-29,0,0,7,0.0,0.0,53,14.0,6,2,1
ObjectId(5d1586442fb2bb00022028ca),JANDIRA ALIMENTOS,Condor - Araucária - BR,5d0e3f38974be00002f22374,2019-07-05,0,0,2,0.0,0.0,53,154.0,16,2,1
ObjectId(5d0705ed670ae40002994f92),VAPZA ALIMENTOS,Condor - Araucária - BR,5cec9688b9a06600347c352b,2019-06-24,10,10,10,0.43,0.43,23,35.0,2,2,1
ObjectId(5d0705f0670ae40002994f96),VAPZA ALIMENTOS,Condor -  Araucária - Bairro Costeira,5cec9688b9a06600347c352b,2019-06-24,9,10,9,0.39,0.43,23,24.0,2,2,1
ObjectId(5d161ba828fd75000298d622),AMBEV RS,Posto - Av Baltazar de Oliveira Garcia 1000,5ceadb5ab9a066003477a618,2019-07-05,0,0,1,0.0,0.0,14,2.0,2,2,1
ObjectId(5d161d8beee0a20002909bfb),AMBEV RS,Posto - Av Plinio Brasil Milano 317,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,1.0,4,2,1
ObjectId(5d161e31eee0a20002909f15),AMBEV RS,Posto - Av Professor Oscar Pereira 2527,5ce62329992aaf0035dfd1a9,2019-07-05,5,6,3,0.36,0.43,14,4.0,4,1,1
ObjectId(5d570c0f1b37ef00023cc1e3),AMBEV RS,Posto - Av Professor Oscar Pereira 2527,5ceaadd4b9a0660034775e32,2019-08-19,8,0,0,0.57,0.0,14,,12,1,1
ObjectId(5d161ec2eee0a20002909f35),AMBEV RS,Posto - Av Cairu 1167,5ce62329992aaf0035dfd1a9,2019-07-05,1,2,0,0.07,0.14,14,9.0,6,2,1
ObjectId(5d161ef3eee0a20002909f3d),AMBEV RS,Posto - Av Ipiranga 999,5ce62329992aaf0035dfd1a9,2019-07-05,7,8,4,0.5,0.57,14,2.0,2,2,1
ObjectId(5da0bc48e4430200026ed519),COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,5d1574b198473f0002f113bc,2019-10-12,0,0,0,0.0,0.0,115,59.0,18,1,1
ObjectId(5da0c9fda1d10f0002c15b37),COCA-COLA FEMSA,Condor - Curitiba - Cajuru,5d7d8911f35a310002363dc4,2019-10-13,0,0,0,0.0,0.0,115,307.0,22,1,1
ObjectId(5da79665353cad0002b41d2b),COCA-COLA FEMSA,Walmart - Curitiba - Juvevê,5da65e0250aef7000222773b,2019-10-20,0,0,0,0.0,0.0,115,71.0,34,2,1
ObjectId(5db1ea861c2f910002d7ee1e),COCA-COLA FEMSA,Mercadorama - Curitiba - Batel,5dae645a554d5300020e450d,2019-10-27,0,0,0,0.0,0.0,115,117.0,54,1,1
ObjectId(5db1ea871bf3830002d08bc9),COCA-COLA FEMSA,Condor - Pinhais - Av. Jacob Macanhan,5cebf53fb9a06600347977bd,2019-10-27,0,0,0,0.0,0.0,115,6.0,18,2,1
ObjectId(5db1ea871c2f910002d7ee2d),COCA-COLA FEMSA,Condor - Curitiba - Torres,5d62abd08e65c200021be3ef,2019-10-27,0,0,0,0.0,0.0,115,65.0,22,2,1
ObjectId(5db365bb9083520002d67b49),COCA-COLA FEMSA,TodoDia - Araucária,5d4ca3dd8584f200027201be,2019-10-27,0,0,0,0.0,0.0,115,19.0,18,1,1
ObjectId(5dc0318cc71c2f000275cc7b),COCA-COLA FEMSA,Condor - Curitiba - Campo Comprido,5dae1bdcfd8abd000253b680,2019-11-11,0,0,0,0.0,0.0,115,154.0,12,2,1
ObjectId(5dc088525c1add0002ac1866),COCA-COLA FEMSA,Rio Verde - Almirante Tamandare,5d4752559842d60002d9641d,2019-11-05,0,0,0,0.0,0.0,115,33.0,10,2,1
ObjectId(5dc190e15d61e200021e99c2),COCA-COLA FEMSA,Mercadorama - Curitiba - Comendador Araújo,5db75e9d97eeab0002d66065,2019-11-12,0,0,0,0.0,0.0,115,93.0,17,1,1
ObjectId(5dc9872b1b671600024fe729),COCA-COLA FEMSA,Mercadorama - Curitiba - Comendador Araújo,5d4f4c5918d17300029d4c85,2019-11-14,72,113,73,0.63,0.98,115,52.0,14,1,1
ObjectId(5dcc1950f529a80002d56785),COCA-COLA FEMSA,Mercadorama - Curitiba - Rebouças,5bda49454378d99c28e4e1b6,2019-11-15,0,0,0,0.0,0.0,115,210.0,24,2,1
ObjectId(5dd3fa8a40042900558845ee),COCA-COLA FEMSA,Condor -  Campo Largo - Loteamento São José,5d0983ec6045c10002f8d5f6,2019-11-19,0,0,0,0.0,0.0,115,47.0,10,2,1
