activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e42b005b98cd6378d2accbe,,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - General Osório,0,0,0,0.0,0.0,174,,0,
5e42b07ff4030bc59e6e237a,5d1f657ee97704000234ee22,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - Rebouças,0,0,0,0.0,0.0,28,,0,
5e42b082f4030b5e2e6e2384,5e194db2dc31d10002717961,2020-02-12,COCA-COLA FEMSA,Walmart - Curitiba - Jardim das Américas,0,0,0,0.0,0.0,28,,0,
5e42b085b98cd686382acd08,5db0ed3108a9ce00021639c6,2020-02-12,COCA-COLA FEMSA,Big - Curitiba - Pinheirinho,0,0,0,0.0,0.0,28,,0,
5e42b077f83ab31d594a8196,5d5aa99f83a3dd0002fed554,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - Batel,0,0,0,0.0,0.0,28,,0,
5e42b084b98cd662542acd03,5e14f9f46d0269000295f9bb,2020-02-12,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,28,,0,
5e42b081e5d3b22af0acbdd7,5dda06cc44b2af00025a45e1,2020-02-12,COCA-COLA FEMSA,Walmart - Curitiba - Juvevê,0,0,0,0.0,0.0,28,,0,
5e42b085f4030b32626e238e,,2020-02-12,COCA-COLA FEMSA,Big - Curitiba - Santa Felicidade,0,0,0,0.0,0.0,28,,0,
5e42b082e5d3b2a5d2acbddc,5e037a06fe9e820002784a6c,2020-02-12,COCA-COLA FEMSA,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,28,,0,
5e42b07de5d3b20471acbdd2,,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - General Osório,0,0,0,0.0,0.0,28,,0,
5e42b07fb98cd6254c2accf4,,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - XV de Novembro,0,0,0,0.0,0.0,28,,0,
5e42b078b98cd63de22accef,5d900d1617a9e500023b6700,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - Bacacheri,0,0,0,0.0,0.0,28,,0,
5e42b078e5d3b21768acbdcd,,2020-02-12,COCA-COLA FEMSA,Mercadorama - Curitiba - Comendador Araújo,0,0,0,0.0,0.0,28,,0,
